Code;Calle;Entre Calle;Lineas;Latitud;Longitud
C3082;Malvinas 1445;Juan Tissera y Santiso y Moscoso;60 Reg - 66 Ida -;-31,393639;-64,153118
C3084;Malvinas 1600;Pronsato y Paysandu;60 Reg - 66 Ida -;-31,39276;-64,150189
C3086;Malvinas 1965;Chilavert y Victor Manuel III;60 Reg - 66 Ida -;-31,391762;-64,146262
C3088;Malvinas 2189;Huberman y Jose de Quevedio;60 Reg - 66 Ida -;-31,39091;-64,142883
C3090;Malvinas 2345;Celestino Vidal y Correa de Saa;60 Reg - 66 Ida -;-31,390141;-64,139847
C3092;Malvinas 2495;Correa de Saa y Homero;60 Reg -;-31,389779;-64,137518
C3094;Malvinas 2765;Wilson y Edison;60 Reg -;-31,38934;-64,135796
C3096;Alsina 1778;Carassa y Gil de Taboada y Lemos;60 Reg - 65 Reg - 66 Reg -;-31,388007;-64,133366
C3098;Alsina 2032;Isasmendi y Villacorta y Ocaña;60 Reg - 65 Reg -;-31,38525;-64,133334
C3100;Alsina 2196;Villacorta y Ocaña y Tomas de Archondo;60 Reg -;-31,38373;-64,133377
C3102;Alsina 2400;Jose de Medeiros y Tadeo Davila;60 Reg -;-31,381724;-64,133388
C3104;Alsina 2584;Leon y Pizarro y Vilchez y Montoya;60 Reg -;-31,379645;-64,133345
C3106;Alsina 2791;Rafael de Palencia y Fuenzalida Meneses;60 Reg -;-31,377822;-64,133313
C3108;Capdevila 2577;Heroes de Vilcapujio y Heroes de Ayohuma;60 Reg -;-31,3779;-64,136124
C3110;Julio de Vedia 2836;Usandivaras y Pereyra Lucena;60 Reg -;-31,377863;-64,138248
C3112;Julio de Vedia 2995;Roque Tollo y Federico Rauch;60 Reg -;-31,376027;-64,138227
C3114;Julio de Vedia 3172;Rio Pasaje y Jose de Arredondo;60 Reg -;-31,37414;-64,138227
C3116;Julio de Vedia 3260;Tomas de Rocamora y Fernando Abramo;60 Reg -;-31,371785;-64,138227
C3118;Julio de Vedia 3550;Niceto Vega y Jose Chorroarin;60 Reg -;-31,369688;-64,138227
C3120;Julio de Vedia 3692;Diaz Velez y Alarcon;60 Reg - 63 Reg - 65 Reg -;-31,367681;-64,138173
